,Unnamed: 0,all_titles,all_years,all_scores,all_meta,all_votes,all_gross,all_genres,id
3019,3019,Nancy Drew,(2007),5.9,53        ,18481,"25,612,520","
Comedy, Crime, Family            ",tt0479500
3020,3020,The Outsiders,(1983),7.1,41        ,69521,"25,600,000","
Crime, Drama            ",tt0086066
3021,3021,Peyton Place,(1957),7.2,no,4862,"25,600,000","
Drama, Romance            ",tt0050839
3022,3022,The Mist,(2007),7.1,58        ,266000,"25,593,755","
Horror, Sci-Fi            ",tt0884328
3023,3023,Billy Madison,(1995),6.4,16        ,123431,"25,588,750","
Comedy            ",tt0112508
3024,3024,Jumpin' Jack Flash,(1986),5.9,52        ,17187,"25,587,804","
Comedy, Romance, Thriller            ",tt0091306
3025,3025,Jonah: A VeggieTales Movie,(2002),6.5,58        ,3674,"25,581,229","
Animation, Adventure, Comedy            ",tt0298388
3026,3026,Her,(2013),8.0,90        ,486794,"25,568,251","
Drama, Romance, Sci-Fi            ",tt1798709
3027,3027,Memento,(2000),8.4,80        ,1052077,"25,544,867","
Mystery, Thriller            ",tt0209144
3028,3028,Captain Corelli's Mandolin,(2001),5.9,36        ,31649,"25,543,895","
Drama, Music, Romance            ",tt0238112
3029,3029,Funny Farm,(1988),6.2,50        ,18273,"25,537,221","
Comedy, Drama            ",tt0095188
3030,3030,The Muppets Take Manhattan,(1984),6.9,64        ,18216,"25,534,703","
Adventure, Comedy, Drama            ",tt0087755
3031,3031,W.,(I) (2008),6.3,56        ,44835,"25,534,493","
Biography, Comedy, Drama            ",tt1175491
3032,3032,Halloween II,(1981),6.5,40        ,69218,"25,533,818","
Horror            ",tt0082495
3033,3033,Serenity,(2005),7.8,74        ,273596,"25,514,517","
Action, Adventure, Sci-Fi            ",tt0379786
3034,3034,A Nightmare on Elm Street,(1984),7.5,76        ,191233,"25,504,513","
Horror            ",tt0087800
3035,3035,The Art of Racing in the Rain,(2019),7.5,43        ,7223,"25,501,224","
Comedy, Drama, Romance            ",tt1478839
3036,3036,All About the Benjamins,(2002),5.9,34        ,12141,"25,482,931","
Action, Comedy, Crime            ",tt0278295
3037,3037,The House,(I) (2017),5.6,30        ,35780,"25,481,529","
Comedy, Crime            ",tt4481514
3038,3038,Mimic,(1997),5.9,55        ,43593,"25,480,490","
Horror, Sci-Fi            ",tt0119675
3039,3039,Mon Pere Ce Heros,(1991),6.1,no,2447,"25,480,000","
Comedy, Drama, Romance            ",tt0102465
3040,3040,My Father the Hero,(1994),5.5,42        ,10056,"25,479,558","
Comedy, Romance            ",tt0110612
3041,3041,Escape from L.A.,(1996),5.7,54        ,65578,"25,477,365","
Action, Adventure, Sci-Fi            ",tt0116225
3042,3042,Dark Water,(2005),5.6,52        ,57878,"25,473,352","
Drama, Horror, Mystery            ",tt0382628
3043,3043,The Fourth Kind,(2009),5.9,34        ,70866,"25,464,480","
Mystery, Sci-Fi, Thriller            ",tt1220198
3044,3044,The International,(I) (2009),6.5,52        ,87956,"25,450,527","
Action, Crime, Drama            ",tt0963178
3045,3045,Ex Machina,(2014),7.7,78        ,435964,"25,442,958","
Drama, Mystery, Sci-Fi            ",tt0470752
3046,3046,Tin Men,(1987),6.5,75        ,7507,"25,411,386","
Comedy, Drama            ",tt0094155
3047,3047,The Absent Minded Professor,(1961),6.8,75        ,6652,"25,381,407","
Comedy, Family, Sci-Fi            ",tt0054594
3048,3048,Boyhood,(I) (2014),7.9,100        ,320199,"25,379,975","
Drama            ",tt1065073
3049,3049,Can't Hardly Wait,(1998),6.5,52        ,42677,"25,339,117","
Comedy, Romance            ",tt0127723
3050,3050,The Great Race,(1965),7.2,71        ,15060,"25,333,333","
Action, Adventure, Comedy            ",tt0059243
3051,3051,Heartburn,(1986),6.1,49        ,8601,"25,314,289","
Comedy, Drama            ",tt0091188
3052,3052,The Woman in Red,(1984),5.9,55        ,12912,"25,300,000","
Comedy, Romance            ",tt0088414
3053,3053,The Transporter,(2002),6.8,51        ,273364,"25,296,447","
Action, Crime, Thriller            ",tt0293662
3054,3054,Sweet November,(2001),6.7,27        ,81625,"25,288,103","
Drama, Romance            ",tt0230838
3055,3055,Top Five,(2014),6.4,81        ,25002,"25,277,561","
Comedy, Romance            ",tt2784678
3056,3056,Jersey Girl,(2004),6.2,43        ,60940,"25,266,129","
Comedy, Drama, Romance            ",tt0300051
3057,3057,Irma la Douce,(1963),7.4,no,15719,"25,246,588","
Comedy, Romance            ",tt0057187
3058,3058,Escape from New York,(1981),7.2,76        ,114992,"25,244,700","
Action, Adventure, Sci-Fi            ",tt0082340
3059,3059,Alien Nation,(1988),6.3,45        ,13461,"25,216,243","
Action, Sci-Fi            ",tt0094631
3060,3060,Black Widow,(1987),6.3,no,8104,"25,205,460","
Crime, Drama, Thriller            ",tt0090738
3061,3061,Aliens in the Attic,(2009),5.4,42        ,19732,"25,200,412","
Adventure, Comedy, Family            ",tt0775552
3062,3062,Don't Tell Mom the Babysitter's Dead,(1991),6.2,35        ,25824,"25,196,249","
Comedy            ",tt0101757
3063,3063,Twisted,(I) (2004),5.3,26        ,19407,"25,195,050","
Crime, Drama, Mystery            ",tt0315297
3064,3064,Fallen,(1998),7.0,no,70052,"25,188,006","
Action, Crime, Drama            ",tt0119099
3065,3065,Nurse Betty,(2000),6.1,69        ,32061,"25,167,270","
Comedy, Crime, Drama            ",tt0171580
3066,3066,The Morning After,(1986),5.9,no,5482,"25,147,055","
Crime, Mystery, Romance            ",tt0091554
